"country","mim20kc","mim45kc","mom45kc","mum20kc","mum45kc"
"Zimbabwe",138.15366554136,138.713517923208,257.928335792064,190.362844893403,194.156202348703
"United Arab Emirates",10.3183517245518,34.6077909297403,57.9901128881561,11.7440623643587,39.6803392779875
"Djibouti",86.9284328777883,248.110263904284,423.872143576379,121.586872139396,352.453439646649
"Algeria",39.7160793279485,118.076727106737,163.769524324283,44.7104285100814,141.779827179629
"Egypt",57.3784578796751,193.032691388289,278.592573868963,70.8612736212218,246.09872044463
"Iraq",80.8269217230686,159.581468088586,240.636213027059,95.3957192430157,196.085291311369
"Jordan",40.8309259005188,105.325407109167,145.990994327154,46.2307691593903,121.687210279646
"Comoros",177.211091397711,337.629748756654,495.798283567118,227.835932544036,432.834214457772
"Kuwait",14.0112398742247,34.6847634525899,53.5620043365279,15.8848884713088,39.9431869752674
"Lebanon",14.5510296180808,57.0461572664131,77.7523814680653,16.3919924309451,66.2707687143209
"Libya",15.8823037181695,79.2115538867211,115.785994399945,18.3118393278065,93.1460933847374
"Morocco",40.6858202792572,124.889811431493,173.53806874099,47.4815470341528,153.21948626806
"Mauritania",162.272517250895,296.398608840042,486.567344572528,235.990932820967,433.514090186793
"Oman",17.8241658418108,106.748160766906,163.5094817856,20.3866489971594,130.885107997525
"Palestinian Territory",61.8801277376052,153.100493560279,215.26369368591,71.0903914166536,180.446188192583
"Qatar",10.9801530951855,50.0118976843846,75.5664468166542,12.5282994549396,57.5766718773105
"Saudi Arabia",18.0326686580965,99.5680161726762,153.060057261152,20.0614374197291,116.51272364233
"Sudan",151.755131667962,280.480962521354,481.232055085233,212.589106755803,400.245193558864
"Somalia",286.937744658175,421.047956240381,638.10371299522,408.293991498548,571.748177169255
"Tunisia",19.2628455931959,76.1315626578497,96.250056644519,20.2104531295958,84.8472881468307
"Yemen ",158.549565523506,396.364170278361,557.858458397008,198.180224920478,498.145521956271
"Afghanistan",233.512635217345,433.06781543701,599.212472297196,297.158101988821,541.559588818389
"Australia",4.34296558503271,12.3946979682153,20.374156556796,4.98696511620418,14.9475957810038
"Azerbaijan",64.670609869628,168.458480495902,221.277744027397,73.7919197372369,202.330032618412
"Bangladesh",97.1230019137623,270.079555390116,402.122919294295,121.050902677383,354.811055122091
"Bhutan",71.531225772467,213.39004340056,362.339660051664,86.2061791519182,305.486550273215
"China",24.5309176091549,75.2499318947723,107.056194283792,27.7561851802547,91.5215503460002
"Hong Kong",1.04605887762117,4.53692368127657,8.21392298926597,1.49909802390866,6.10901772375577
"Indonesia",47.9569063374127,118.054409289654,179.901063329386,57.002767484655,148.95448611849
"India",108.272169976664,227.522233638979,349.521162866348,134.435584852505,298.957687295762
"Islamic Republic of Iran",24.353915670953,98.6566594172418,148.987655641485,27.7699792607436,120.269582438949
"Japan",1.91429917636587,5.79094951828253,11.2846509452326,2.48119321141193,7.90561252899257
"Kyrgyzstan",74.0388722003931,196.153493738433,257.020307976813,83.7238107142339,228.397132038192
"Cambodia",100.724447841503,269.675351461326,416.923755012809,116.356707462803,340.34172239381
"Democratic People's Republic of Korea",32.5859046782631,99.4085853646871,158.545550813661,39.6650598661959,130.993152830579
"Republic of Korea",2.08151621076749,14.8138536723765,24.7688114186171,2.47857961964645,18.830363028739
"Kazakhstan",39.0160858019671,107.612559866898,154.200386026969,44.6535786981084,127.799540828697
"Lao People's Democratic Republic",122.589879441257,294.801591529771,439.923510195391,154.332182902785,383.415339700875
"Sri Lanka",15.150288879554,38.6878039729134,64.1874411141541,16.8535813980399,47.1198478714484
"Myanmar",71.8265360532759,163.945897582691,262.886030571075,89.6074874241522,213.79203112739
"Mongolia",51.8686922723582,159.52424328325,225.599753991114,61.0493747383263,202.348813570888
"Maldives",19.8647729583604,166.44334641278,232.029596709321,22.3679791508792,209.300182321609
"Malaysia",8.6463297332207,31.1404144250671,54.9237477122114,10.2167979525734,37.8506767576382
"Nepal",93.0091837271482,253.392562199548,375.733108492207,113.687010665996,327.977954665615
"New Zealand",5.87137704210388,15.2215726189296,27.317119077192,6.95284586853988,18.6800724785102
"Papua New Guinea",123.895555903633,222.97803071165,341.40538173312,152.853685168053,280.13239908805
"Philippines",49.9613342781077,114.451564279066,189.099834689608,62.7225258869698,149.400506846775
"Pakistan",174.216118331316,348.707780489232,463.029793845585,206.334062997837,420.452346583149
"Singapore",1.50739281274808,6.06349283576727,11.0960905145498,1.79431264437427,7.66885980833043
"Syrian Arab Republic",36.666589629705,93.0776432796855,164.689075098065,41.6311921838836,108.979011872793
"Thailand",14.6792511318378,43.4986423652246,76.0613643127705,16.5026148076072,50.7578400046585
"Tajikistan",102.624980367057,258.845492108998,365.662135780319,116.982473778197,328.315592122476
"Turkmenistan",112.133398601451,209.959739276714,287.250537954119,130.113719339176,253.271127843082
"Timor-Leste",146.845564865373,367.915312667966,499.430307475292,177.552088848677,458.852162709569
"Taiwan",3.49585723739712,11.5395947814761,24.0087187204287,4.21112062540072,15.8556737230359
"Uzbekistan",75.8428253253158,180.489708437588,248.709356335323,88.1071848685222,219.625442323495
"Vietnam",30.6353469365877,72.2598752204571,121.936394894853,37.1514738965998,92.730852205282
"Albania",17.7555609695373,65.2429099841363,91.891705227275,21.7117281167902,76.8143398816139
"Armenia",31.3628639696775,86.1117621185223,114.054015566729,35.5983699712017,100.063025451552
"Austria",3.45423099781865,10.032134617114,17.3224233753594,3.99592774409875,12.0148539520715
"Bosnia & Herzegovina",8.86342452304221,26.1597444918121,38.4834836648189,10.0183903293082,30.4097199537567
"Belgium",4.18715544267167,11.5106879436452,19.0992465422764,4.96508284669247,13.8578550120786
"Bulgaria",11.4973913742613,25.3208226233637,44.827143503515,13.4036266700949,31.5868628338127
"Belarus",7.32998372861475,24.307947879045,43.6999155085794,8.9730458041084,29.4836851330048
"Switzerland",3.29075175388314,9.1787887795405,14.4359750445582,3.63688362551157,10.9753060602221
"Cyprus",4.38102620583212,18.5476854104724,26.2953673396614,5.05833680324507,21.8878302656474
"Czech Republic",2.86132243537878,14.7283744608108,25.9138334118329,3.38448292782032,17.399666699764
"Germany",3.11857173187636,8.52611284347906,14.1932084418558,3.61237970473683,10.3280665193054
"Denmark",3.87473537548388,10.9959992270601,17.2717099550106,4.39178215426038,13.1993948719731
"Estonia",5.07748284479669,25.1281453496577,43.8359054427246,6.24083611784917,30.463361635969
"Spain",2.07976694452311,7.85238948107094,12.435853833359,2.42369058431072,9.52606272294504
"Finland",2.62613459756353,8.01823885835399,15.4174554493414,3.16238550186915,9.71838639466316
"France",4.22731795541711,10.9839063601096,18.0936142508535,4.88235503639966,13.2378740149522
"United Kingdom",5.32878282684157,12.5632870727898,19.9333218627293,6.05709221448577,14.7566942377396
"Georgia",27.5905244273726,74.8331048184967,97.8864613072106,30.5924220750227,82.2825144750477
"Greece",2.85740691679138,12.0541698651991,18.9231969894671,3.24684061417466,13.7272786884615
"Croatia",5.54604055404365,16.8818743674895,26.7161138556807,6.32619284464304,19.4167652455115
"Hungary",4.9480557459801,22.2442457663592,33.1865985018334,5.62384164626039,25.472702577628
"Ireland",3.58248367753471,12.514784073906,20.027418238387,4.1039570558892,14.8469807469293
"Israel",6.96330288451344,21.849177045818,34.7374074589135,8.30890773460506,26.5224262098503
"Iceland",2.42550356520366,8.8145889330784,17.3979626299025,3.22331220516369,11.2764734804589
