"country","mim20kc","mim45kc","mom45kc","mum20kc","mum45kc"
"Sudan",158.031209129995,281.550620324249,466.005464243957,221.381071066461,401.771590896184
"Somalia",291.306798266446,421.478393757646,628.879708215582,414.510874324183,572.332675590953
"Tunisia",27.4415508402906,80.6220983838406,100.49285542897,28.7914978281825,89.8519112673244
"Yemen ",165.291477212431,396.659054033173,546.066398542762,206.607328271367,498.516128163826
"Afghanistan",238.246000930101,433.379618384944,583.630369828682,303.181578919362,541.94950437031
"Australia",6.53263322995847,13.7508465101751,21.4584061564965,7.50132907961181,16.5830660664593
"Azerbaijan",79.4637965908163,181.639386369811,226.636321273935,90.6715757260782,218.16119236506
"Bangladesh",110.538110601756,276.042930015522,395.486997782155,137.771051192138,362.645306921982
"Bhutan",83.6894051203634,217.035292275329,361.414194966112,100.858663793519,310.705043535106
"China",31.8959714888953,84.4168437180051,112.314890283505,36.0895790877185,102.670663186668
"Hong Kong",2.28530089934566,6.08990509823829,10.7503046630536,3.27504515810481,8.20012431213309
"Indonesia",57.8810619984408,124.813528064956,181.725946385251,68.7988648735682,157.482766170433
"India",118.820185415475,233.232361156704,339.188007833729,147.53247415338,306.460631028161
"Islamic Republic of Iran",32.8691491827183,103.724582339815,152.594465500643,37.4796235420592,126.447745954022
"Japan",3.40004653015268,7.04632400559215,13.4614174853453,4.4069247238119,9.61940821036053
"Kyrgyzstan",82.8521018933635,200.46964402097,248.875651120004,93.6898887036201,233.422769497863
"Cambodia",113.611713098222,272.794932286521,414.157340148965,131.244053937328,344.278765603136
"Democratic People's Republic of Korea",40.9256612606729,108.12265364427,166.179988509861,49.8165946287539,142.475896234842
"Republic of Korea",4.28058385877636,17.0353016067821,28.418215946956,5.09713441464799,21.6541165218833
"Kazakhstan",45.4046986344156,114.11020853625,152.614235028693,51.9652918036579,135.516079840839
"Lao People's Democratic Republic",135.256205902827,297.622711675626,434.570148660968,170.27821222497,387.084454014156
"Sri Lanka",18.9851938501128,41.9032534539988,67.2707272053915,21.1196309492326,51.0361076439894
"Myanmar",91.4001900782213,171.692785410133,265.686974971828,114.026679177797,223.894283809312
"Mongolia",60.9449559020106,166.594899812271,227.186597738071,71.7321237199462,211.317600573841
"Maldives",24.9594001273646,169.897353610617,235.845364411087,28.1045921258504,213.643548108396
"Malaysia",11.8829959238999,32.3265735882229,56.1548682301347,14.0413530563465,39.2924342903054
"Nepal",103.748978592494,257.532952754571,369.906748337167,126.814479637114,333.33705760836
"New Zealand",8.18852654925336,16.6452993626916,28.5698786235958,9.69679899266092,20.4272847691768
"Papua New Guinea",134.063487489198,224.945717711798,327.6860719948,165.398169125162,282.604449263785
"Philippines",56.9817418334357,116.530612137159,183.516455052177,71.5360954400769,152.114412993138
"Pakistan",186.1981560163,350.662543368634,445.881795838405,220.525072085952,422.809290378625
"Singapore",2.9253027169979,7.24688233470086,13.326690187742,3.48211004413814,9.16556284926406
"Syrian Arab Republic",41.0125766480733,94.1343111982995,162.265462034592,46.5656194818011,110.216200757155
"Thailand",21.3859027343575,50.1250619722112,83.6965013936092,24.0423242281481,58.4900984827772
"Tajikistan",108.988600091,261.710208123138,358.520457633612,124.236379940497,331.949153312906
"Turkmenistan",124.577881782495,215.9905756591,278.24837942745,144.553645464081,260.546030820509
"Timor-Leste",154.05878523393,368.787217625084,493.834501630228,186.273648433656,459.93957457169
"Taiwan",6.68024991400527,13.3448721541285,26.4890224630257,8.047050061073,18.3361671495733
"Uzbekistan",85.8338374766755,185.295919089157,238.504846955835,99.7138193902146,225.473787635747
"Vietnam",38.2418843355661,78.1366460613673,126.622024855259,46.3759189863386,100.272492245901
"Albania",23.6846279813062,70.512082867923,94.7665060905196,28.961867448722,83.0180490185697
"Armenia",38.8819416550982,95.7422145767588,117.675924558576,44.1328874038762,111.253740700325
"Austria",5.60356913871228,11.885257065693,19.3655440848203,6.48232773126528,14.2342216564283
"Bosnia & Herzegovina",13.3100827657073,30.6923946364788,42.1942526249034,15.0444790403073,35.6787554212404
"Belgium",6.0735731437438,13.033027263597,20.4989057053066,7.20197619768639,15.690617543594
"Bulgaria",16.4738744398441,29.9215604230806,47.7490106782366,19.2051966932261,37.3261263631067
"Switzerland",5.84863357327283,10.7852921042632,16.0671316163047,6.46381169565686,12.8962420463402
"Cyprus",6.89544434484926,20.3168564795128,27.6729414582838,7.96148625129126,23.975601069016
"Czech Republic",4.49994857799352,16.8084389774595,28.0528293019219,5.32271335448857,19.85699350117
"Germany",5.32781413385264,10.3088648436619,16.0753822683969,6.17144298815261,12.487594733783
"Denmark",5.88874765829915,12.2854956715454,18.2751727665017,6.6745453225773,14.7472826450897
"Estonia",7.33446990762746,28.6594527483198,47.6043308626188,9.01494423594298,34.7444374112125
"Spain",4.26164767890395,9.59235845196566,14.8822312205328,4.96638115160427,11.6368919925167
"Finland",3.92530965599999,9.04229980578305,16.9337761593838,4.72684924755882,10.9595841382838
"France",6.08876297577757,12.1805547574656,19.1129836831871,7.03223719950779,14.6800822972372
"United Kingdom",7.65490342464385,14.2191719910164,21.1038951477393,8.70113446967638,16.7016778466931
"Georgia",34.7837019880223,85.0976341095868,103.852036022867,38.5682300222489,93.5688466674935
"Greece",5.07813343227515,14.2451629482482,21.5596716862212,5.77022816569074,16.2223798021713
"Croatia",8.33398068170692,19.4622480564954,28.9017769408271,9.50630786815424,22.3845938807967
"Hungary",8.36014176975811,25.4356563853744,35.8094891114277,9.50193689543686,29.1273040577197
"Ireland",5.75269747571342,13.7387717499688,21.5861330064574,6.59007144788906,16.2990650460803
"Israel",8.23233705049472,22.4584357720353,34.2980170754909,9.82317301533135,27.2619972964372
"Iceland",3.28767561841857,9.54692286616734,18.211410445407,4.36907415824715,12.2133457768319
"Italy",4.55529448923015,10.4619590291815,15.4337593150688,5.16935413568198,12.1518381369905
"Lithuania",9.15305521014412,27.2330746113365,47.2261456967886,10.8035642446543,32.8655330139462
"Latvia",10.9674654874702,29.9697608830631,49.4972402189882,13.4412309181104,36.7109055480717
"Moldova, Republic of",25.9600519910621,59.9800646270916,84.3325474846578,30.5458031094875,72.1260210731139
"Macedonia",18.3173048511439,58.8267148292504,68.8597546197083,19.9881186424734,63.5141725809739
"Netherlands",5.75505277380941,11.6048908721229,16.7853694484586,6.60010028036942,13.9912196627505
"Norway",4.56911762378625,10.9197880229698,19.1594506014152,5.33024088158077,13.5555905482246
"Poland",8.17470125662412,30.3967964714733,43.8335442325806,9.25433896296541,34.1223259915651
"Portugal",4.94506295134473,14.9637537494128,25.1260760336237,5.86257005885512,18.7547845731898
"Romania",19.1573985128233,44.2584191345855,65.2586018655815,21.9609360285674,54.1384756856069
"Russian Federation",18.3521405204113,40.4234297347168,68.3352125921689,21.660004555045,48.1349590010819
"Sweden",4.06827852678307,9.36672621936559,15.8443133959474,4.7548512195875,11.219167257314
"Slovenia",4.1425320319591,13.2226689293338,21.963316501393,4.89180793754797,15.7430562348064
"Slovakia",9.3366147404168,24.4783003212071,37.871128830616,10.9544745638395,28.8284615642322
"Turkey",43.9995475629327,163.646211879587,246.352371345965,57.6763418507781,201.325391868557
"Ukraine",19.4120858294654,32.9124568880365,56.7588268570797,22.5711215233242,40.5931356263123
"Serbia",12.1610840006405,37.5388862979621,51.3417899133885,13.6826377225238,43.4741418937422
"Montenegro",13.9269774823377,35.5366453843459,45.9585533088547,15.2616323058318,39.1716587934713
"Canada",7.6662032391124,12.8546854236286,20.0524513249872,8.5304564752036,15.1292155664306
"United States",12.1130396613855,19.9458968423116,33.7051254180613,13.8984831319165,23.6298882361107
"Argentina",27.7649015733497,59.5273263676864,84.7732222814206,31.6900151748004,69.1805660087277
"Bolivia",96.6268215107719,238.647652613858,408.100955668127,149.448816912738,358.625142243229
"Brazil",39.805562524844,98.9419681428263,139.462719718647,46.4099192667122,116.730015751618
"Belize",40.8349735255745,100.012717632496,164.126888298353,46.6367399202901,118.402680571117
"Chile",13.528372921362,31.5132235704066,48.9379532840243,15.844793747202,37.7081993225198
"Colombia",34.8978837380484,69.095756206715,113.276601256895,40.1803803068023,82.2407546212895
"Costa Rica",18.7603493736866,39.1529106131446,63.1510320515987,22.5916770022759,47.2704348793902
"Cuba",9.50338698155317,19.7397772069125,36.0442338263774,11.5376611538562,25.7700222790477
"Dominican Republic",76.8728588406296,154.241460316269,196.840763138584,83.8779113109894,171.593961899908
